count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
3.24,0,0,0,0,0,-2.865,0,0,0,0
3.25,0.03,0,0,0,0,-3.033,0,0,0,0
3.26,0.03,0,0,0,0,-3.033,0,0,0,0
3.27,0.07,0,0,0,0,-3.208,0,0,0,0
3.28,0.07,0,0,0,0,-3.208,0,0,0,0
3.29,0.13,0,0,0,0,-3.019,0,0,0,0
3.3,0.13,0,0,0,0,-3.019,0,0,0,0
3.31,0.13,0,0,0,0,-3.019,0,0,0,0
3.32,0.21,0,0,0,0,-3.339,0,0,0,0
3.33,0.21,0,0,0,0,-3.339,0,0,0,0
3.34,0.3,0,0,0,0,-3.431,0,0,0,0
3.35,0.3,0,0,0,0,-3.431,0,0,0,0
3.36,0.41,0,0,0,0,-3.431,0,0,0,0
3.37,0.41,0,0,0,0,-3.38,0,0,0,0
3.38,0.41,0,0,0,0,-3.38,0,0,0,0
3.39,0.53,0,0,0,0,-2.396,0,0,0,0
3.4,0.53,0,0,0,0,-2.396,0,0,0,0
3.41,0.67,0,0,0,0,-1.469,0,0,0,0
3.42,0.67,0,0,0,0,-1.469,0,0,0,0
3.43,0.81,0,0,0,0,-0.88,0,0,0,0
3.44,0.81,0,0,0,0,-0.88,0,0,0,0
3.45,0.81,0,0,0,0,-0.88,0,0,0,0
3.46,0.96,0,0,0,0,-0.836,0,0,0,0
3.47,0.96,0,0,0,0,-0.836,0,0,0,0
3.48,1.11,0,0,0,0,-0.465,0,0,0,0
3.49,1.11,0,0,0,0,-0.465,0,0,0,0
3.5,1.26,0,0,0,0,-0.306,0,0,0,0
3.51,1.26,0,0,0,0,-0.306,0,0,0,0
3.52,1.26,0,0,0,0,-0.306,0,0,0,0
3.53,1.41,0,0,0,0,0.034,0,0,0,0
3.54,1.41,0,0,0,0,0.034,0,0,0,0
3.55,1.57,0,0,0,0,-0.184,0,0,0,0
3.56,1.57,0,0,0,0,-0.184,0,0,0,0
3.57,1.71,0,0,0,0,-0.184,0,0,0,0
3.58,1.71,0,0,0,0,-0.511,0,0,0,0
3.59,1.71,0,0,0,0,-0.511,0,0,0,0
3.6,1.86,0,0,0,0,-0.048,0,0,0,0
3.61,1.86,0,0,0,0,-0.048,0,0,0,0
3.62,2.01,0,0,0,0,-0.322,0,0,0,0
3.63,2.01,0,0,0,0,-0.322,0,0,0,0
3.64,2.16,0,0,0,0,-0.526,0,0,0,0
3.65,2.16,0,0,0,0,-0.526,0,0,0,0
3.66,2.16,0,0,0,0,-0.526,0,0,0,0
3.67,2.31,0,0,0,0,-0.208,0,0,0,0
3.68,2.31,0,0,0,0,-0.208,0,0,0,0
3.69,2.46,0,0,0,0,-0.535,0,0,0,0
3.7,2.46,0,0,0,0,-0.535,0,0,0,0
3.71,2.61,0,0,0,0,-0.08,0,0,0,0
3.72,2.61,0,0,0,0,-0.08,0,0,0,0
3.73,2.61,0,0,0,0,-0.08,0,0,0,0
3.74,2.76,0,0,0,0,-0.15,0,0,0,0
3.75,2.76,0,0,0,0,-0.15,0,0,0,0
3.76,2.91,0,0,0,0,-0.277,0,0,0,0
3.77,2.91,0,0,0,0,-0.277,0,0,0,0
3.78,3.06,0,0,0,0,-0.219,0,0,0,0
3.79,3.06,0,0,0,0,-0.219,0,0,0,0
3.8,3.06,0,0,0,0,-0.219,0,0,0,0
3.81,3.21,0,0,0,0,-0.182,0,0,0,0
3.82,3.21,0,0,0,0,-0.182,0,0,0,0
3.83,3.35,0,0,0,0,-0.393,0,0,0,0
3.84,3.35,0,0,0,0,-0.393,0,0,0,0
3.85,3.5,0,0,0,0,-0.468,0,0,0,0
3.86,3.5,0,0,0,0,-0.468,0,0,0,0
3.87,3.5,0,0,0,0,-0.468,0,0,0,0
3.88,3.65,0,0,0,0,-0.053,0,0,0,0
3.89,3.65,0,0,0,0,-0.053,0,0,0,0
3.9,3.8,0,0,0,0,1.535,0,0,0,0
3.91,3.8,0,0,0,0,1.535,0,0,0,0
3.92,3.92,0,0,0,0,7.976,0,0,0,0
3.93,3.92,0,0,0,0,7.976,0,0,0,0
3.94,3.92,0,0,0,0,7.976,0,0,0,0
3.95,3.98,0,0,0,0,6.255,0,0,0,0
3.96,3.98,0,0,0,0,6.255,0,0,0,0
3.97,4.01,0,0,0,0,2.761,0,0,0,0
3.98,4.01,0,0,0,0,2.761,0,0,0,0
3.99,4.02,0,0,0,0,0.911,0,0,0,0
4,4.02,0,0,0,0,0.911,0,0,0,0
4.01,4.02,0,0,0,0,0.593,0,0,0,0
4.02,4.02,0,0,0,0,0.593,0,0,0,0
4.03,4.01,0,0,0,0,0.593,0,0,0,0
4.04,4.01,0,0,0,0,0.883,0,0,0,0
4.05,4.01,0,0,0,0,0.883,0,0,0,0
4.06,4.01,0,0,0,0,0.688,0,0,0,0
4.07,4.01,0,0,0,0,0.688,0,0,0,0
4.08,4,0,0,0,0,0.4,0,0,0,0
4.09,4,0,0,0,0,0.4,0,0,0,0
4.1,3.98,0,0,0,0,0.4,0,0,0,0
4.11,3.98,0,0,0,0,0.419,0,0,0,0
4.12,3.98,0,0,0,0,0.419,0,0,0,0
4.13,3.97,0,0,0,0,0.626,0,0,0,0
4.14,3.97,0,0,0,0,0.626,0,0,0,0
4.15,3.95,0,0,0,0,0.517,0,0,0,0
4.16,3.95,0,0,0,0,0.517,0,0,0,0
4.17,3.94,0,0,0,0,0.485,0,0,0,0
4.18,3.94,0,0,0,0,0.485,0,0,0,0
4.19,3.94,0,0,0,0,0.485,0,0,0,0
4.2,3.92,0,0,0,0,0.452,0,0,0,0
4.21,3.92,0,0,0,0,0.452,0,0,0,0
4.22,3.9,0,0,0,0,0.452,0,0,0,0
4.23,3.9,0,0,0,0,0.452,0,0,0,0
4.24,3.87,0,0,0,0,0.468,0,0,0,0
4.25,3.87,0,0,0,0,0.468,0,0,0,0
4.26,3.85,0,0,0,0,0.468,0,0,0,0
4.27,3.85,0,0,0,0,0.465,0,0,0,0
4.28,3.85,0,0,0,0,0.465,0,0,0,0
4.29,3.82,0,0,0,0,0.504,0,0,0,0
4.3,3.82,0,0,0,0,0.504,0,0,0,0
4.31,3.79,0,0,0,0,0.521,0,0,0,0
4.32,3.79,0,0,0,0,0.521,0,0,0,0
