count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
4.44,2.38,0,0,0,0,0.532,0,0,0,0,
4.45,2.32,0,0,0,0,0.508,0,0,0,0,
4.46,2.32,0,0,0,0,0.508,0,0,0,0,
4.47,2.32,0,0,0,0,0.508,0,0,0,0,
4.48,2.27,0,0,0,0,0.634,0,0,0,0,
4.49,2.27,0,0,0,0,0.634,0,0,0,0,
4.5,2.21,0,0,0,0,0.677,0,0,0,0,
4.51,2.21,0,0,0,0,0.677,0,0,0,0,
4.52,2.15,0,0,0,0,0.106,0,0,0,0,
4.53,2.15,0,0,0,0,0.106,0,0,0,0,
4.54,2.09,0,0,0,0,0.143,0,0,0,0,
4.55,2.09,0,0,0,0,0.143,0,0,0,0,
4.56,2.09,0,0,0,0,0.143,0,0,0,0,
4.57,2.03,0,0,0,0,0.215,0,0,0,0,
4.58,2.03,0,0,0,0,0.215,0,0,0,0,
4.59,1.97,0,0,0,0,0.191,0,0,0,0,
4.6,1.97,0,0,0,0,0.191,0,0,0,0,
4.61,1.92,0,0,0,0,0.069,0,0,0,0,
